,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,start_date,storm_name
79,80,28.736984,30.407454,29.46037,30.18204,31.49253,31.322826,32.455044,32.61189,35.74627,36.611073,38.554955,40.489407,41.625053,42.428146,42.726414,2015-01-09T20:00:00,C3S_STORM_TRACKS_ERA5
80,81,50.758205,53.796593,56.097023,56.193016,53.724594,52.350677,49.197445,48.840897,48.104652,47.137,44.499733,45.040558,42.723843,38.35182,34.88832,2015-01-08T20:00:00,C3S_STORM_TRACKS_ERA5
81,82,39.91773,41.81961,44.12347,44.597443,45.239403,45.83165,45.289112,44.018047,42.56185,43.22867,42.54985,41.23079,41.886463,41.153652,40.381413,2015-01-12T04:00:00,C3S_STORM_TRACKS_ERA5
82,83,42.030457,42.781265,43.310947,43.26038,43.285236,42.422146,42.387863,42.76841,42.661274,41.871895,40.651398,39.471184,39.41633,39.31434,36.748207,2015-01-14T18:00:00,C3S_STORM_TRACKS_ERA5
84,85,37.092587,39.94765,41.798504,40.662594,40.317665,44.209084,46.521667,46.96537,48.498734,48.84523,48.14126,45.37478,42.300217,48.357624,49.9537,2016-01-29T04:00:00,C3S_STORM_TRACKS_ERA5
85,86,42.632095,41.308525,38.515064,38.671364,38.528366,38.273132,38.75949,38.767807,38.383705,37.275467,33.988163,32.580624,33.80526,32.825882,33.283978,2016-02-01T18:00:00,C3S_STORM_TRACKS_ERA5
86,87,41.829803,40.82133,40.505405,40.938557,39.81785,39.59088,36.9479,36.374245,35.734077,35.37159,33.142643,31.968723,29.827904,28.578327,27.028624,2016-02-08T01:00:00,C3S_STORM_TRACKS_ERA5
88,89,39.63068,41.648136,40.733242,42.008396,41.967342,41.000504,40.909184,40.164368,39.31064,38.676414,39.268745,39.846836,38.602684,38.12262,36.789658,2016-12-26T05:00:00,C3S_STORM_TRACKS_ERA5
89,90,42.36229,44.863735,47.6232,51.48516,54.60328,53.491627,47.697308,45.506023,44.16838,41.62393,38.930344,38.897408,36.81043,36.41883,35.295284,2017-10-16T01:00:00,C3S_STORM_TRACKS_ERA5
92,93,30.26873,31.03712,31.835964,32.728516,33.30793,33.22828,33.426624,31.59311,32.07726,33.261078,31.700872,31.635277,30.73726,30.89578,30.335106,2020-02-16T20:00:00,DENNIS
94,95,33.00659,32.3732,31.683302,30.706444,29.919903,30.725029,32.95381,34.00055,34.399025,33.602818,33.4296,35.843494,35.504494,37.166786,37.03669,2020-10-31T01:00:00,AIDEN 
