Time&Longitude&Latitude;Longitude (MSLP);Latitude (MSLP);MSLP;Longitude (925wind);Latitude (925wind);925hP Wind Speed;Longitude (10m wind);Latitude (10m wind);10m Wind Speed
TRACK_ID 25 START_TIME 1990012103 MEDIAN_TIME 1990012103 ENSMBLE_MEMB 0 NAME C3S_STORM_TRACKS_ERA5;;;;;;;;;
POINT_NUM 62                           ;;;;;;;;;
1990012900 263.750427 32.840683 3.349035e+00;2.666255e+02;3.213614e+01;1.013624e+03;2.657812e+02;3.049180e+01;1.857697e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012903 265.370575 33.084366 4.150993e+00;2.681153e+02;3.252447e+01;1.012493e+03;2.666250e+02;3.049180e+01;1.927456e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012906 267.080475 33.547295 4.773501e+00;2.697182e+02;3.359883e+01;1.010691e+03;2.683125e+02;3.133490e+01;2.201407e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012909 268.992218 34.396282 5.346146e+00;2.712664e+02;3.494959e+01;1.007521e+03;2.700000e+02;3.189690e+01;2.274991e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012912 270.646759 34.670631 5.693365e+00;2.730981e+02;3.609505e+01;1.005795e+03;2.708438e+02;3.133490e+01;2.353694e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012915 273.091492 35.692455 6.108868e+00;2.748025e+02;3.703029e+01;1.003773e+03;2.730938e+02;3.245900e+01;2.503738e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012918 275.597351 36.934692 6.640981e+00;2.772736e+02;3.731414e+01;1.001291e+03;2.756250e+02;3.358310e+01;2.427083e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990012921 278.256104 38.031879 7.221322e+00;2.784831e+02;3.832191e+01;9.993667e+02;2.767500e+02;3.245900e+01;2.381753e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990013000 280.385803 39.070290 7.869382e+00;2.799581e+02;3.983689e+01;1.000620e+03;2.812500e+02;3.414520e+01;2.538713e+01;1.000000e+25;1.000000e+25;1.000000e+25 
1990013003 283.233307 40.116684 8.829438e+00;2.834467e+02;3.806979e+01;9.970922e+02;2.880000e+02;3.667450e+01;3.252437e+01;1.000000e+25;1.000000e+25;1.000000e+25 
