,start_date,end_date,storm_index,3_hour_steps,1_hour_steps,eu_landfall_date,nb_steps_before_eu_landfall_1_hour,storm_index_match,storm_name
75,2013-12-12T18:00:00,2013-12-18T21:00:00,75,49,147,2013-12-15T18:00:00,72,75.0,C3S_STORM_TRACKS_ERA5
76,2013-12-15T15:00:00,2013-12-20T15:00:00,76,40,120,2013-12-15T15:00:00,0,76.0,C3S_STORM_TRACKS_ERA5
77,2013-12-22T18:00:00,2013-12-30T09:00:00,78,61,183,2013-12-26T22:00:00,100,78.0,C3S_STORM_TRACKS_ERA5
78,2014-02-09T09:00:00,2014-02-15T00:00:00,79,45,135,2014-02-12T08:00:00,71,79.0,C3S_STORM_TRACKS_ERA5
79,2015-01-05T00:00:00,2015-01-12T12:00:00,80,60,180,2015-01-10T00:00:00,120,80.0,C3S_STORM_TRACKS_ERA5
80,2015-01-05T15:00:00,2015-01-10T21:00:00,81,42,126,2015-01-09T00:00:00,81,81.0,C3S_STORM_TRACKS_ERA5
81,2015-01-10T12:00:00,2015-01-15T21:00:00,82,43,129,2015-01-12T06:00:00,42,82.0,C3S_STORM_TRACKS_ERA5
82,2015-01-12T18:00:00,2015-01-19T09:00:00,83,53,159,2015-01-14T21:00:00,51,83.0,C3S_STORM_TRACKS_ERA5
83,2015-02-06T18:00:00,2015-02-10T09:00:00,84,29,87,2015-02-06T18:00:00,0,84.0,C3S_STORM_TRACKS_ERA5
84,2016-01-27T15:00:00,2016-02-01T03:00:00,85,36,108,2016-01-29T06:00:00,39,85.0,C3S_STORM_TRACKS_ERA5
85,2016-01-30T03:00:00,2016-02-04T09:00:00,86,42,126,2016-02-01T21:00:00,66,86.0,C3S_STORM_TRACKS_ERA5
86,2016-02-03T21:00:00,2016-02-10T03:00:00,87,50,150,2016-02-08T03:00:00,102,87.0,C3S_STORM_TRACKS_ERA5
87,2016-12-19T06:00:00,2016-12-25T06:00:00,88,48,144,2016-12-23T18:00:00,108,88.0,C3S_STORM_TRACKS_ERA5
88,2016-12-21T03:00:00,2016-12-29T09:00:00,89,66,198,2016-12-25T06:00:00,99,89.0,C3S_STORM_TRACKS_ERA5
89,2017-10-04T03:00:00,2017-10-17T21:00:00,90,110,330,2017-10-14T16:00:00,253,90.0,CIARA1
90,2020-02-06T18:00:00,2020-02-09T03:00:00,91,19,57,-1,-1,91.0,CIARA2
91,2020-02-08T21:00:00,2020-02-12T09:00:00,92,28,84,2020-02-09T07:00:00,10,92.0,DENNIS
92,2020-02-13T09:00:00,2020-02-17T18:00:00,93,35,105,2020-02-15T15:00:00,54,93.0,ALEX
93,2020-10-01T00:00:00,2020-10-07T00:00:00,94,48,144,2020-10-01T21:00:00,21,94.0,AIDEN C3S_STORM_TRACKS_ERA5
94,2020-10-29T06:00:00,2020-11-04T09:00:00,95,49,147,2020-10-31T04:00:00,46,95.0,C3S_STORM_TRACKS_ERA5
95,2021-03-21T18:00:00,2021-03-25T03:00:00,96,27,81,2021-03-23T19:00:00,49,,
